pdb_id,label,chain_id
8GPH,monomer,8GPH:A
8X5L,monomer,8X5L:A
8PWT,monomer,8PWT:A
8WT5,monomer,8WT5:A
8I76,monomer,8I76:A
8QZJ,monomer,8QZJ:A
8SX0,monomer,8SX0:A
8KIH,monomer,8KIH:A
8BY4,monomer,8BY4:A
8JNG,monomer,8JNG:A
8DSF,monomer,8DSF:A
8ST6,monomer,8ST6:A
8X2W,monomer,8X2W:A
8JVG,monomer,8JVG:A
8FZY,monomer,8FZY:A
8HCS,monomer,8HCS:A
7YVD,monomer,7YVD:A
8HYK,monomer,8HYK:A
8DU0,monomer,8DU0:A
8GSJ,monomer,8GSJ:A
8OTK,monomer,8OTK:A
8FEY,monomer,8FEY:A
8ZF1,monomer,8ZF1:A
8Q3U,monomer,8Q3U:A
8ZMN,monomer,8ZMN:A
9BD0,monomer,9BD0:A
8EP4,monomer,8EP4:A
8GRZ,monomer,8GRZ:A
8B4U,monomer,8B4U:A
8WFF,monomer,8WFF:A
8UAN,monomer,8UAN:A
9BKT,monomer,9BKT:A
8AMP,monomer,8AMP:A
8DZL,monomer,8DZL:A
8FZ9,monomer,8FZ9:A
8WKL,monomer,8WKL:A
8DWZ,monomer,8DWZ:A
8XJE,monomer,8XJE:A
8Y8Y,monomer,8Y8Y:A
8OSQ,monomer,8OSQ:A
8DSN,monomer,8DSN:A
8AVQ,monomer,8AVQ:A
8AIT,monomer,8AIT:A
8G52,monomer,8G52:A
8FTW,monomer,8FTW:A
8DYQ,monomer,8DYQ:A
8SKN,monomer,8SKN:A
8GLO,monomer,8GLO:A
8BFH,monomer,8BFH:A
8AJ7,monomer,8AJ7:A
8USU,monomer,8USU:A
8Q3L,monomer,8Q3L:A
8CGX,monomer,8CGX:A
8XPX,monomer,8XPX:A
8BOJ,monomer,8BOJ:A
8GSX,monomer,8GSX:A
8BPD,monomer,8BPD:A
8J0I,monomer,8J0I:A
8K8L,monomer,8K8L:A
8QNN,monomer,8QNN:A
8FQ7,monomer,8FQ7:A
8WE3,monomer,8WE3:A
8T5I,monomer,8T5I:A
8RRY,monomer,8RRY:A
8B0Q,monomer,8B0Q:A
8WYP,monomer,8WYP:A
8WR8,monomer,8WR8:A
8GBE,monomer,8GBE:A
8WCC,monomer,8WCC:R
8OE6,monomer,8OE6:A
8S9E,monomer,8S9E:A
8FDS,monomer,8FDS:A
9AZZ,monomer,9AZZ:A
8BBR,monomer,8BBR:A
8F2I,monomer,8F2I:A
8F85,monomer,8F85:A
8K0O,monomer,8K0O:A
8U1W,monomer,8U1W:A
9C3D,monomer,9C3D:A
8DV0,monomer,8DV0:A
8QT5,monomer,8QT5:A
8FJN,monomer,8FJN:A
7YT9,monomer,7YT9:A
8S9Y,monomer,8S9Y:A
8POI,monomer,8POI:A
8TAD,monomer,8TAD:A
8J9A,monomer,8J9A:A
8X87,monomer,8X87:A
8P2U,monomer,8P2U:A
8VEH,monomer,8VEH:A
8EW9,monomer,8EW9:A
7YRX,monomer,7YRX:A
8RBR,monomer,8RBR:A
8BVO,monomer,8BVO:A
8JVL,monomer,8JVL:A
8B53,monomer,8B53:A
8WD4,monomer,8WD4:A
8II0,monomer,8II0:A
8EA2,monomer,8EA2:A
8H7R,monomer,8H7R:A
8SOT,monomer,8SOT:A
8KA4,monomer,8KA4:A
8Y9P,monomer,8Y9P:A
8OFW,monomer,8OFW:A
8E5I,monomer,8E5I:A
9BKZ,monomer,9BKZ:A
8P2R,monomer,8P2R:A
8PTF,monomer,8PTF:A
8BXA,monomer,8BXA:A
7G1X,monomer,7G1X:A
8G1N,monomer,8G1N:A
8JUV,monomer,8JUV:A
8F43,monomer,8F43:A
8H7O,monomer,8H7O:A
8GUC,monomer,8GUC:A
8YR7,monomer,8YR7:A
8OWG,monomer,8OWG:A
8USS,monomer,8USS:A
8AR2,monomer,8AR2:A
8PHN,monomer,8PHN:A
8PW1,monomer,8PW1:A
8B5O,monomer,8B5O:A
8FBC,monomer,8FBC:A
8QWT,monomer,8QWT:A
9FWC,monomer,9FWC:A
8F23,monomer,8F23:A
8QX0,monomer,8QX0:A
8TYV,monomer,8TYV:A
8STB,monomer,8STB:A
5SSZ,monomer,5SSZ:A
8XMZ,monomer,8XMZ:A
8SXM,monomer,8SXM:A
8JNN,monomer,8JNN:A
8JAO,monomer,8JAO:A
8W0Q,monomer,8W0Q:A
8B6Y,monomer,8B6Y:A
8PTV,monomer,8PTV:A
8FZ4,monomer,8FZ4:A
8BZQ,monomer,8BZQ:A
8E4F,monomer,8E4F:A
7YUG,monomer,7YUG:A
8PFF,monomer,8PFF:A
8PVQ,monomer,8PVQ:A
9B7F,monomer,9B7F:A
7YKM,monomer,7YKM:A
8GMZ,monomer,8GMZ:D
7YU4,monomer,7YU4:A
7H9J,monomer,7H9J:A
8CDS,monomer,8CDS:A
8G0N,monomer,8G0N:A
8DWN,monomer,8DWN:A
8GAR,monomer,8GAR:A
8J2N,monomer,8J2N:A
8IF7,monomer,8IF7:A
8FRR,monomer,8FRR:A
8CGB,monomer,8CGB:A
8SEM,monomer,8SEM:A
8PAK,monomer,8PAK:A
8BXH,monomer,8BXH:A
8XY0,monomer,8XY0:A
8I6D,monomer,8I6D:A
8R5C,monomer,8R5C:A
8WLB,monomer,8WLB:A
8HNJ,monomer,8HNJ:A
8E5R,monomer,8E5R:A
8K62,monomer,8K62:A
8CRL,monomer,8CRL:A
8EX2,monomer,8EX2:A
8IDX,monomer,8IDX:A
7YW4,monomer,7YW4:A
8B2M,monomer,8B2M:A
8B2G,monomer,8B2G:A
8GHX,monomer,8GHX:A
8HP7,monomer,8HP7:A
8JCR,monomer,8JCR:A
8ORL,monomer,8ORL:A
8TDQ,monomer,8TDQ:A
8U4Z,monomer,8U4Z:A
8RD6,monomer,8RD6:A
8QN7,monomer,8QN7:A
8OTY,monomer,8OTY:A
8FNS,monomer,8FNS:A
8GJ8,monomer,8GJ8:A
8OVI,monomer,8OVI:A
8YHI,monomer,8YHI:A
7YNX,monomer,7YNX:A
8EDZ,monomer,8EDZ:A
8EUS,monomer,8EUS:A
8YA5,monomer,8YA5:A
8JWS,monomer,8JWS:A
8ORZ,monomer,8ORZ:A
8ZJV,monomer,8ZJV:A
8JWV,monomer,8JWV:A
8AUT,monomer,8AUT:A
8B2H,monomer,8B2H:A
8HXN,monomer,8HXN:A
8BXR,monomer,8BXR:A
8BTI,monomer,8BTI:A
8SWE,monomer,8SWE:A
8IRQ,monomer,8IRQ:A
8EM5,monomer,8EM5:A
8W68,monomer,8W68:A
8G9E,monomer,8G9E:A
8SXQ,monomer,8SXQ:A
8I53,monomer,8I53:A
8BJC,monomer,8BJC:B
9BV0,monomer,9BV0:A
8BBM,monomer,8BBM:A
8H7H,monomer,8H7H:A
8OOD,monomer,8OOD:A
8WRA,monomer,8WRA:A
8AKH,monomer,8AKH:A
8EWO,monomer,8EWO:A
8XP5,monomer,8XP5:A
8Q5Z,monomer,8Q5Z:A
8HQL,monomer,8HQL:A
8ONG,monomer,8ONG:A
8AU6,monomer,8AU6:A
8T5T,monomer,8T5T:A
8GDH,monomer,8GDH:A
8TW1,monomer,8TW1:A
8F9Y,monomer,8F9Y:A
8XOV,monomer,8XOV:A
8GIF,monomer,8GIF:A
8BAL,monomer,8BAL:A
8B6R,monomer,8B6R:A
8IGI,monomer,8IGI:A
8R6B,monomer,8R6B:A
8H85,monomer,8H85:A
8H6R,monomer,8H6R:A
8FD4,monomer,8FD4:A
9G35,monomer,9G35:A
8PD6,monomer,8PD6:A
8PJX,monomer,8PJX:A
8FG7,monomer,8FG7:A
8WZL,monomer,8WZL:A
8XJG,monomer,8XJG:A
8VRG,monomer,8VRG:A
8K81,monomer,8K81:A
8HGX,monomer,8HGX:A
8GMX,monomer,8GMX:A
8TE6,monomer,8TE6:A
8SUC,monomer,8SUC:A
8FC0,monomer,8FC0:A
8T4C,monomer,8T4C:A
8K2O,monomer,8K2O:A
8QX5,monomer,8QX5:A
8BVI,monomer,8BVI:A
8RDQ,monomer,8RDQ:A
8TZM,monomer,8TZM:A
8JB9,monomer,8JB9:A
8IJU,monomer,8IJU:A
8FXU,monomer,8FXU:A
8PHY,monomer,8PHY:A
8JIY,monomer,8JIY:A
8B3Y,monomer,8B3Y:A
8YCM,monomer,8YCM:A
8PJI,monomer,8PJI:A
8TAV,monomer,8TAV:A
9BKY,monomer,9BKY:A
8OUT,monomer,8OUT:A
8COG,monomer,8COG:F
8AR0,monomer,8AR0:A
8G1V,monomer,8G1V:A
7YLE,monomer,7YLE:A
8B6P,monomer,8B6P:A
8G9A,monomer,8G9A:A
8IBM,monomer,8IBM:A
8TB6,monomer,8TB6:A
8T0J,monomer,8T0J:A
8GUU,monomer,8GUU:A
8RFF,monomer,8RFF:A
8HDG,monomer,8HDG:A
8P7F,monomer,8P7F:A
8IRW,monomer,8IRW:A
8V8G,monomer,8V8G:A
8JZ1,monomer,8JZ1:A
8CL8,monomer,8CL8:A
8GMD,monomer,8GMD:A
8B2J,monomer,8B2J:A
8FTT,monomer,8FTT:A
8CO2,monomer,8CO2:A
8U9F,monomer,8U9F:A
8ISR,monomer,8ISR:A
8V6T,monomer,8V6T:A
8SCA,monomer,8SCA:B
8GQ4,monomer,8GQ4:A
8CC4,monomer,8CC4:A
8FOR,monomer,8FOR:A
8AR3,monomer,8AR3:A
8PPJ,monomer,8PPJ:A
8QHI,monomer,8QHI:A
8Q4J,monomer,8Q4J:A
8K9O,monomer,8K9O:A
8ZKD,monomer,8ZKD:A
8HT3,monomer,8HT3:A
8GW3,monomer,8GW3:A
8OVL,monomer,8OVL:A
8JYD,monomer,8JYD:A
8VYC,monomer,8VYC:A
8BDU,monomer,8BDU:A
8SIX,monomer,8SIX:A
8GBD,monomer,8GBD:A
8E1Z,monomer,8E1Z:A
8CIE,monomer,8CIE:A
8JK2,monomer,8JK2:A
8AIR,monomer,8AIR:A
8ZJB,monomer,8ZJB:A
8CKN,monomer,8CKN:A
8J9R,monomer,8J9R:A
8BPZ,monomer,8BPZ:A
8B9O,monomer,8B9O:A
8RU5,monomer,8RU5:A
8GYN,monomer,8GYN:A
8XQK,monomer,8XQK:A
8FQW,monomer,8FQW:A
8I2N,monomer,8I2N:A
8PRD,monomer,8PRD:A
8BTX,monomer,8BTX:A
8VD3,monomer,8VD3:A
8IYC,monomer,8IYC:A
8ZAV,monomer,8ZAV:A
8WTH,monomer,8WTH:A
9CJ0,monomer,9CJ0:A
8GDU,monomer,8GDU:A
8JIG,monomer,8JIG:A
8JZA,monomer,8JZA:A
8V8P,monomer,8V8P:A
8ZQF,monomer,8ZQF:A
8HFH,monomer,8HFH:A
8SD5,monomer,8SD5:A
8F7V,monomer,8F7V:A
8PUI,monomer,8PUI:A
8HIV,monomer,8HIV:A
8QHH,monomer,8QHH:A
8JGA,monomer,8JGA:A
8XEY,monomer,8XEY:A
8UM2,monomer,8UM2:A
8W3V,monomer,8W3V:A
8J3V,monomer,8J3V:A
8CM3,monomer,8CM3:A
7YLL,monomer,7YLL:A
8FEN,monomer,8FEN:A
8KB6,monomer,8KB6:A
8OU2,monomer,8OU2:A
8F37,monomer,8F37:A
8POA,monomer,8POA:A
7YVY,monomer,7YVY:A
8HS7,monomer,8HS7:A
8QNT,monomer,8QNT:A
8E22,monomer,8E22:X
8YHW,monomer,8YHW:A
8P4U,monomer,8P4U:A
8SDD,monomer,8SDD:A
8FZV,monomer,8FZV:A
8T85,monomer,8T85:A
8EPT,monomer,8EPT:A
8UW0,monomer,8UW0:A
8KCA,monomer,8KCA:A
8PI6,monomer,8PI6:A
8H43,monomer,8H43:A
8S4C,monomer,8S4C:A
8PEH,monomer,8PEH:A
8RYS,monomer,8RYS:A
8HO1,monomer,8HO1:A
8AHO,monomer,8AHO:A
8PUX,monomer,8PUX:A
8CP7,monomer,8CP7:A
8BJU,monomer,8BJU:A
8AIF,monomer,8AIF:A
8EU1,monomer,8EU1:A
7YMO,monomer,7YMO:A
8OXE,monomer,8OXE:A
8RJ9,monomer,8RJ9:A
8FAM,monomer,8FAM:A
8XMS,monomer,8XMS:A
8R2C,monomer,8R2C:A
8BSB,monomer,8BSB:A
8JNZ,monomer,8JNZ:A
8GZD,monomer,8GZD:A
8FUT,monomer,8FUT:A
8HLT,monomer,8HLT:A
8YYO,monomer,8YYO:A
8HU2,monomer,8HU2:A
8HKG,monomer,8HKG:A
7YVT,monomer,7YVT:A
8IMQ,monomer,8IMQ:A
8WUG,monomer,8WUG:A
8JYJ,monomer,8JYJ:A
8PAQ,monomer,8PAQ:A
8PHX,monomer,8PHX:A
8UBH,monomer,8UBH:A
8OWY,monomer,8OWY:A
8IZU,monomer,8IZU:A
8AZG,monomer,8AZG:M
8X23,monomer,8X23:A
8SIF,monomer,8SIF:A
8OVT,monomer,8OVT:A
8CI9,monomer,8CI9:C
8RJX,monomer,8RJX:A
8HW9,monomer,8HW9:A
8IYO,monomer,8IYO:A
8GJT,monomer,8GJT:A
8H9Z,monomer,8H9Z:A
8P8R,monomer,8P8R:A
8G45,monomer,8G45:A
8J3O,monomer,8J3O:A
8ITQ,monomer,8ITQ:A
8X5M,monomer,8X5M:A
7YQE,monomer,7YQE:A
8JOG,monomer,8JOG:A
9BZR,monomer,9BZR:A
8WNW,monomer,8WNW:Q
8XPV,monomer,8XPV:A
8HM9,monomer,8HM9:A
8ILT,monomer,8ILT:A
8E1V,monomer,8E1V:A
8FBE,monomer,8FBE:A
8PTR,monomer,8PTR:A
8HF9,monomer,8HF9:A
8E4T,monomer,8E4T:A
8EV5,monomer,8EV5:A
8P25,monomer,8P25:A
8GE0,monomer,8GE0:A
8US4,monomer,8US4:A
8G1M,monomer,8G1M:A
8AR1,monomer,8AR1:A
8T2H,monomer,8T2H:A
8Y9A,monomer,8Y9A:A
8UC2,monomer,8UC2:A
8DWQ,monomer,8DWQ:A
8EJZ,monomer,8EJZ:A
8SV7,monomer,8SV7:A
8FBQ,monomer,8FBQ:A
8AN4,monomer,8AN4:A
8Q1V,monomer,8Q1V:A
8SPP,monomer,8SPP:A
8UFM,monomer,8UFM:A
8BOO,monomer,8BOO:A
8HEK,monomer,8HEK:A
8WAB,monomer,8WAB:A
8VTT,monomer,8VTT:A
8TCM,monomer,8TCM:B
8JW3,monomer,8JW3:A
8K7N,monomer,8K7N:A
8BUX,monomer,8BUX:A
8FL5,monomer,8FL5:A
9FSE,monomer,9FSE:A
8OXK,monomer,8OXK:A
8J4J,monomer,8J4J:A
8H24,monomer,8H24:A
8G21,monomer,8G21:A
8QRY,monomer,8QRY:A
8AK3,monomer,8AK3:A
8B7D,monomer,8B7D:A
8Y4Z,monomer,8Y4Z:A
8T8L,monomer,8T8L:A
8P7A,monomer,8P7A:A
8X3H,monomer,8X3H:A
8PAU,monomer,8PAU:A
8J7Q,monomer,8J7Q:A
8BL1,monomer,8BL1:A
8JCS,monomer,8JCS:A
8VGZ,monomer,8VGZ:A
8QPD,monomer,8QPD:A
8SJ3,monomer,8SJ3:A
8TI5,monomer,8TI5:A
8X70,monomer,8X70:A
8FHB,monomer,8FHB:A
8CDB,monomer,8CDB:A
8P0Z,monomer,8P0Z:A
8HEA,monomer,8HEA:A
8BAT,monomer,8BAT:A
8AQR,monomer,8AQR:A
8SVB,monomer,8SVB:A
8YXN,monomer,8YXN:A
8H2F,monomer,8H2F:A
8J67,monomer,8J67:A
8TVL,monomer,8TVL:A
8SP7,monomer,8SP7:A
8ZAK,monomer,8ZAK:A
8SKP,monomer,8SKP:A
8JZJ,monomer,8JZJ:A
8KIF,monomer,8KIF:A
8J8Y,monomer,8J8Y:A
8EQR,monomer,8EQR:A
8OZA,monomer,8OZA:A
8G22,monomer,8G22:A
8TAT,monomer,8TAT:A
8JZC,monomer,8JZC:A
8BFG,monomer,8BFG:A
8RK1,monomer,8RK1:A
8CB0,monomer,8CB0:A
7YW5,monomer,7YW5:A
8G7X,monomer,8G7X:A
8GU3,monomer,8GU3:A
8PND,monomer,8PND:A
8CBA,monomer,8CBA:A
8GXT,monomer,8GXT:A
8T94,monomer,8T94:A
8OH7,monomer,8OH7:A
8AXW,monomer,8AXW:A
8AJ2,monomer,8AJ2:A
8U0X,monomer,8U0X:A
8X5J,monomer,8X5J:A
8E1W,monomer,8E1W:A
8VCW,monomer,8VCW:A
8VU6,monomer,8VU6:A
8T55,monomer,8T55:A
8ILZ,monomer,8ILZ:A
8QTQ,monomer,8QTQ:A
8TFA,monomer,8TFA:A
8UEK,monomer,8UEK:A
8JBY,monomer,8JBY:A
8SNI,monomer,8SNI:A
8HQR,monomer,8HQR:A
8GLD,monomer,8GLD:A
8P3C,monomer,8P3C:B
8EW5,monomer,8EW5:A
8BBI,monomer,8BBI:A
9ATX,monomer,9ATX:A
8V9U,monomer,8V9U:A
8IJZ,monomer,8IJZ:A
8GM3,monomer,8GM3:A
8OQH,monomer,8OQH:A
8T8N,monomer,8T8N:A
8UJW,monomer,8UJW:A
8SQV,monomer,8SQV:A
8V1P,monomer,8V1P:A
8PXH,monomer,8PXH:A
7YV0,monomer,7YV0:A
8GUN,monomer,8GUN:A
8R6T,monomer,8R6T:A
8PQG,monomer,8PQG:A
8HGR,monomer,8HGR:A
8F8N,monomer,8F8N:A
8E1C,monomer,8E1C:A
8VZR,monomer,8VZR:A
8FKM,monomer,8FKM:A
8SV2,monomer,8SV2:A
8R5U,monomer,8R5U:A
8JQU,monomer,8JQU:A
8FHA,monomer,8FHA:A
8FIP,monomer,8FIP:A
7YLO,monomer,7YLO:A
8X6R,monomer,8X6R:A
8FSI,monomer,8FSI:A
8QOH,monomer,8QOH:A
8BP6,monomer,8BP6:A
8UD0,monomer,8UD0:A
8USL,monomer,8USL:A
8CHH,monomer,8CHH:A
8BFS,monomer,8BFS:A
7YL8,monomer,7YL8:A
8KG3,monomer,8KG3:A
8YHK,monomer,8YHK:A
8V34,monomer,8V34:A
8ZWV,monomer,8ZWV:A
8DTE,monomer,8DTE:A
8BP1,monomer,8BP1:A
8T3N,monomer,8T3N:A
8GXN,monomer,8GXN:B
8BAX,monomer,8BAX:A
8YWO,monomer,8YWO:A
8FH2,monomer,8FH2:A
8E2N,monomer,8E2N:A
8PRJ,monomer,8PRJ:A
8XAB,monomer,8XAB:A
8CIH,monomer,8CIH:A
8QQO,monomer,8QQO:A
8TKB,monomer,8TKB:A
8H61,monomer,8H61:B
9F0G,monomer,9F0G:A
8KI1,monomer,8KI1:A
8IA1,monomer,8IA1:A
8F90,monomer,8F90:A
8C7O,monomer,8C7O:A
8IXI,monomer,8IXI:A
9FX5,monomer,9FX5:A
8B8E,monomer,8B8E:A
8HW5,monomer,8HW5:A
8XU5,monomer,8XU5:A
8T1N,monomer,8T1N:A
8BVL,monomer,8BVL:A
8U00,monomer,8U00:A
8BQB,monomer,8BQB:A
8Z9B,monomer,8Z9B:A
8COI,monomer,8COI:A
8F2F,monomer,8F2F:A
8HMH,monomer,8HMH:A
8DY2,monomer,8DY2:A
8DVZ,monomer,8DVZ:A
8OS2,monomer,8OS2:A
8FUX,monomer,8FUX:A
8GJY,monomer,8GJY:A
8AJP,monomer,8AJP:A
8OS0,monomer,8OS0:A
7YRB,monomer,7YRB:A
8ROM,monomer,8ROM:A
8U57,monomer,8U57:A
8WSW,monomer,8WSW:A
8IYN,monomer,8IYN:A
8KFP,monomer,8KFP:A
9FS7,monomer,9FS7:A
8XB9,monomer,8XB9:A
8GJ9,monomer,8GJ9:A
8Y11,monomer,8Y11:A
8JWD,monomer,8JWD:A
8ERI,monomer,8ERI:A
8FNA,monomer,8FNA:A
8OVQ,monomer,8OVQ:A
8XBI,monomer,8XBI:R
8K9P,monomer,8K9P:A
8WIK,monomer,8WIK:A
8HTG,monomer,8HTG:A
8AP5,monomer,8AP5:A
8OK3,monomer,8OK3:A
9AZ9,monomer,9AZ9:A
8RQ6,monomer,8RQ6:A
8JSJ,monomer,8JSJ:A
8F5H,monomer,8F5H:A
8X2R,monomer,8X2R:A
8CH7,monomer,8CH7:A
8QZO,monomer,8QZO:A
8VSX,monomer,8VSX:A
8OT2,monomer,8OT2:A
8V1K,monomer,8V1K:A
8C8A,monomer,8C8A:A
8SQX,monomer,8SQX:A
9COJ,monomer,9COJ:A
8BAU,monomer,8BAU:A
8IE8,monomer,8IE8:A
8BVC,monomer,8BVC:A
8YEW,monomer,8YEW:A
8VU7,monomer,8VU7:A
8IK1,monomer,8IK1:A
8WF5,monomer,8WF5:A
8GQO,monomer,8GQO:A
8C3E,monomer,8C3E:A
8WU7,monomer,8WU7:A
8K79,monomer,8K79:A
8Q4W,monomer,8Q4W:A
8YJC,monomer,8YJC:A
8IU1,monomer,8IU1:A
8RHF,monomer,8RHF:A
8H02,monomer,8H02:A
8HB5,monomer,8HB5:A
8K2P,monomer,8K2P:A
8PX1,monomer,8PX1:A
7FY1,monomer,7FY1:A
8PQ0,monomer,8PQ0:A
8SX2,monomer,8SX2:A
8YL9,monomer,8YL9:A
8YJ6,monomer,8YJ6:C
8R9U,monomer,8R9U:A
8R5K,monomer,8R5K:A
8EU5,monomer,8EU5:A
8JTN,monomer,8JTN:A
8GMM,monomer,8GMM:A
8K4M,monomer,8K4M:A
8B5D,monomer,8B5D:A
8SDV,monomer,8SDV:A
8THA,monomer,8THA:A
8QNJ,monomer,8QNJ:A
9CE9,monomer,9CE9:A
7YRS,monomer,7YRS:A
8BDY,monomer,8BDY:A
8UXS,monomer,8UXS:A
8QQ5,monomer,8QQ5:A
8P66,monomer,8P66:B
8QWZ,monomer,8QWZ:A
8UAK,monomer,8UAK:A
8GA2,monomer,8GA2:A
8IQJ,monomer,8IQJ:A
8B7T,monomer,8B7T:A
8JPE,monomer,8JPE:Q
8FM8,monomer,8FM8:A
8EHD,monomer,8EHD:A
8TRY,monomer,8TRY:A
8B2S,monomer,8B2S:A
8OUM,monomer,8OUM:A
8JN0,monomer,8JN0:A
8V1J,monomer,8V1J:A
8QJT,monomer,8QJT:A
8J8I,monomer,8J8I:A
8QXI,monomer,8QXI:A
8YGZ,monomer,8YGZ:A
8P08,monomer,8P08:A
8AT0,monomer,8AT0:A
8SSK,monomer,8SSK:A
8QUA,monomer,8QUA:A
8EHC,monomer,8EHC:A
8BMV,monomer,8BMV:A
8CIT,monomer,8CIT:A
8JVZ,monomer,8JVZ:A
8GHI,monomer,8GHI:A
8ZEY,monomer,8ZEY:A
9BJ0,monomer,9BJ0:A
8EB9,monomer,8EB9:A
8QAM,monomer,8QAM:B
8FTX,monomer,8FTX:A
8WJY,monomer,8WJY:A
8QZD,monomer,8QZD:A
8IY4,monomer,8IY4:A
8BO9,monomer,8BO9:A
8QXQ,monomer,8QXQ:A
8SWZ,monomer,8SWZ:A
8C8F,monomer,8C8F:A
8HOD,monomer,8HOD:A
8F1B,monomer,8F1B:A
8ATK,monomer,8ATK:A
8JOT,monomer,8JOT:A
8Y4U,monomer,8Y4U:A
8U4W,monomer,8U4W:A
8OKV,monomer,8OKV:A
8OJR,monomer,8OJR:A
8TL1,monomer,8TL1:A
8EPV,monomer,8EPV:A
8RHR,monomer,8RHR:A
8AU4,monomer,8AU4:A
8PJZ,monomer,8PJZ:A
8OXR,monomer,8OXR:A
8T28,monomer,8T28:A
8C4D,monomer,8C4D:A
8J2X,monomer,8J2X:A
8PXW,monomer,8PXW:A
8ILY,monomer,8ILY:A
8JMS,monomer,8JMS:A
8T4T,monomer,8T4T:A
8OZ1,monomer,8OZ1:A
8DY4,monomer,8DY4:A
8FHC,monomer,8FHC:A
8E11,monomer,8E11:A
8BW4,monomer,8BW4:A
8DYN,monomer,8DYN:A
8F8V,monomer,8F8V:A
8JNT,monomer,8JNT:A
8COH,monomer,8COH:A
8V8O,monomer,8V8O:A
8T3H,monomer,8T3H:A
8TWJ,monomer,8TWJ:A
8IBJ,monomer,8IBJ:A
7YSI,monomer,7YSI:A
8YXK,monomer,8YXK:A
8EZ6,monomer,8EZ6:A
8BAD,monomer,8BAD:A
7YM7,monomer,7YM7:A
8H5V,monomer,8H5V:A
8DVC,monomer,8DVC:A
8PU2,monomer,8PU2:A
8GXD,monomer,8GXD:A
7YKB,monomer,7YKB:A
9B8E,monomer,9B8E:A
8E4V,monomer,8E4V:A
8PJW,monomer,8PJW:A
8SLU,monomer,8SLU:A
8GQQ,monomer,8GQQ:A
8QZG,monomer,8QZG:1
8IM5,monomer,8IM5:A
8HFA,monomer,8HFA:A
8SPK,monomer,8SPK:A
8QSX,monomer,8QSX:A
8JMP,monomer,8JMP:A
8C6G,monomer,8C6G:A
8JMY,monomer,8JMY:A
8IPK,monomer,8IPK:A
