xref_pfam,count,pfam_name
PF00724,4,NADH:flavin oxidoreductase / NADH oxidase family (domain)
PF00905,4,Penicillin binding protein transpeptidase domain (domain)
PF00169,4,PH domain (domain)
PF00073,4,picornavirus capsid protein (domain)
PF13445,4,RING-type zinc-finger (domain)
PF00072,4,Response regulator receiver domain (domain)
PF13499,4,EF-hand domain pair (domain)
PF13561,4,Enoyl-(Acyl carrier protein) reductase (domain)
PF00672,4,HAMP domain (domain)
PF02126,4,Phosphotriesterase family (domain)
PF08242,4,Methyltransferase domain (domain)
PF00098,4,Zinc knuckle (domain)
PF07974,4,EGF-like domain (domain)
PF00129,4,"Class I Histocompatibility antigen, domains alpha 1 and 2 (domain)"
PF13920,4,"Zinc finger, C3HC4 type (RING finger) (domain)"
PF00194,4,Eukaryotic-type carbonic anhydrase (domain)
PF01885,3,"RNA 2'-phosphotransferase, Tpt1 / KptA family (family)"
PF00619,3,Caspase recruitment domain (domain)
PF01839,3,FG-GAP repeat (repeat)
PF01759,3,UNC-6/NTR/C345C module (domain)
PF01036,3,Bacteriorhodopsin-like protein (domain)
PF00632,3,HECT-domain (ubiquitin-transferase) (domain)
PF01552,3,Picornavirus 2B protein (family)
PF01518,3,Sigma NS protein (family)
PF01443,3,Viral (Superfamily 1) RNA helicase (family)
PF00665,3,Integrase core domain (domain)
PF01042,3,Endoribonuclease L-PSP (domain)
PF00978,3,RNA dependent RNA polymerase (family)
PF00947,3,Picornavirus core protein 2A (domain)
PF00850,3,Histone deacetylase domain (domain)
PF08441,3,Integrin alpha Ig-like domain 1 (domain)
PF02022,3,Integrase Zinc binding domain (domain)
PF02146,3,Sir2 family (family)
PF12697,3,Alpha/beta hydrolase family (domain)
PF12924,3,"Copper-binding of amyloid precursor, CuBD (domain)"
PF12925,3,E2 domain of amyloid precursor protein (domain)
PF13365,3,Trypsin-like peptidase domain (domain)
PF13426,3,PAS domain (domain)
PF17121,3,"Zinc finger, C3HC4 type (RING finger) (domain)"
PF17642,3,Hemolysin coregulated protein Hcp (TssD) (family)
PF17802,3,Prealbumin-like fold domain (domain)
PF17887,3,Jak1 pleckstrin homology-like domain (domain)
PF18377,3,FERM F2 acyl-CoA binding protein-like domain (domain)
PF18379,3,FERM F1 ubiquitin-like domain (domain)
PF18720,3,Tenascin EGF domain (domain)
PF18962,3,Secretion system C-terminal sorting domain (domain)
PF20266,3,Mab-21 protein HhH/H2TH-like domain (domain)
PF20805,3,Integrin alpha Ig-like domain 2 (domain)
PF21520,3,"Integrin alpha-X-like, Ig-like domain 3 (domain)"
PF21990,3,SH2 domain (domain)
PF22828,3,HphA N-terminal heme-binding domain (domain)
PF22829,3,HphA C-terminal domain (domain)
PF10515,3,Beta-amyloid precursor protein C-terminus (family)
PF10431,3,"C-terminal, D2-small domain, of ClpB protein (domain)"
PF09380,3,FERM C-terminal PH-like domain (domain)
PF04977,3,Septum formation initiator (coiled_coil)
PF02177,3,Amyloid A4 N-terminal heparin-binding (domain)
PF02198,3,Sterile alpha motif (SAM)/Pointed domain (domain)
PF02226,3,Picornavirus coat protein (VP4) (family)
PF02861,3,"Clp amino terminal domain, pathogenicity island component (family)"
PF02972,3,"Phycoerythrin, alpha/beta chain (family)"
PF03281,3,Mab-21 protein nucleotidyltransferase domain (domain)
PF03372,3,Endonuclease/Exonuclease/phosphatase family (domain)
PF04650,3,YSIRK type signal peptide (conserved_site)
PF05394,3,Avirulence protein (family)
PF09379,3,FERM N-terminal domain (domain)
PF05405,3,Mitochondrial ATP synthase B chain precursor (ATP-synt_B) (family)
PF06083,3,Interleukin-17 (family)
PF06391,3,CDK-activating kinase assembly factor MAT1 (family)
PF07724,3,AAA domain (Cdc48 subfamily) (domain)
PF07740,3,Ion channel inhibitory toxin (domain)
PF08022,3,FAD-binding domain (domain)
PF08246,3,Cathepsin propeptide inhibitor domain (I29) (domain)
PF08727,3,Poliovirus 3A protein like (domain)
PF00603,3,Influenza RNA-dependent RNA polymerase subunit PA (family)
PF00001,3,7 transmembrane receptor (rhodopsin family) (domain)
PF00035,3,Double-stranded RNA binding motif (domain)
PF00049,3,Insulin/IGF/Relaxin family (domain)
PF00552,3,Integrase DNA binding domain (domain)
PF00516,3,Envelope glycoprotein GP120 (family)
PF00357,3,Integrin alpha cytoplasmic region (family)
PF00433,3,Protein kinase C terminal domain (family)
PF00178,3,Ets-domain (domain)
PF00168,3,C2 domain (domain)
PF00014,3,Kunitz/Bovine pancreatic trypsin inhibitor domain (domain)
PF00337,3,Galactoside-binding lectin (domain)
PF00075,3,RNase H (domain)
PF00348,3,Polyprenyl synthetase (domain)
PF00077,3,Retroviral aspartyl protease (domain)
PF00051,3,Kringle domain (domain)
PF00107,3,Zinc-binding dehydrogenase (domain)
PF00047,3,Immunoglobulin domain (domain)
PF00581,3,Rhodanese-like domain (domain)
PF00130,3,Phorbol esters/diacylglycerol binding domain (C1 domain) (domain)
PF00112,3,Papain family cysteine protease (domain)
PF00534,3,Glycosyl transferases group 1 (family)
PF00271,3,Helicase conserved C-terminal domain (domain)
PF00144,3,Beta-lactamase (domain)
PF01547,2,Bacterial extracellular solute-binding protein (family)
PF00328,2,Histidine phosphatase superfamily (branch 2) (family)
PF01522,2,Polysaccharide deacetylase (family)
PF18521,2,Transactivation domain 2 (conserved_site)
PF18515,2,Rh5 coiled-coil domain (coiled_coil)
PF18483,2,Bacterial lectin (domain)
PF02877,2,"Poly(ADP-ribose) polymerase, regulatory domain (domain)"
PF18428,2,BRCA1 C Terminus (BRCT) domain (domain)
PF10604,2,Polyketide cyclase / dehydrase and lipid transport (family)
PF00066,2,LNR domain (domain)
PF00270,2,DEAD/DEAH box helicase (domain)
PF13516,2,Leucine Rich repeat (repeat)
PF01607,2,Chitin binding Peritrophin-A domain (domain)
PF18202,2,T-Q ester bond containing domain (domain)
PF13343,2,Bacterial extracellular solute-binding protein (family)
PF02893,2,GRAM domain (domain)
PF01570,2,Flavivirus polyprotein propeptide (family)
PF02932,2,Neurotransmitter-gated ion-channel transmembrane region (family)
PF06815,2,Reverse transcriptase connection domain (domain)
PF06816,2,NOTCH protein (family)
PF02431,2,Chalcone-flavanone isomerase (domain)
PF13360,2,PQQ-like domain (repeat)
PF01349,2,Flavivirus non-structural protein NS4B (family)
PF01350,2,Flavivirus non-structural protein NS4A (family)
PF00044,2,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain (domain)"
PF03088,2,Strictosidine synthase (repeat)
PF00501,2,AMP-binding enzyme (family)
PF00046,2,Homeodomain (domain)
PF01395,2,PBP/GOBP family (domain)
PF00053,2,Laminin EGF domain (domain)
PF01403,2,Sema domain (repeat)
PF03067,2,"Lytic polysaccharide mono-oxygenase, cellulose-degrading (domain)"
PF04464,2,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase (family)
PF00059,2,Lectin C-type domain (domain)
PF01436,2,NHL repeat (repeat)
PF01437,2,Plexin repeat (family)
PF00127,2,"Copper binding proteins, plastocyanin/azurin family (domain)"
PF14520,2,Helix-hairpin-helix domain (domain)
PF00443,2,Ubiquitin carboxyl-terminal hydrolase (family)
PF01476,2,LysM domain (domain)
PF06817,2,Reverse transcriptase thumb domain (domain)
PF01660,2,Viral methyltransferase (family)
PF08487,2,Vault protein inter-alpha-trypsin domain (family)
PF18086,2,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain (domain)
PF16684,2,Telomere resolvase ResT/TelK catalytic domain (domain)
PF00147,2,"Fibrinogen beta and gamma chains, C-terminal globular domain (domain)"
PF08563,2,P53 transactivation motif (conserved_site)
PF17041,2,E domain (domain)
PF02148,2,Zn-finger in ubiquitin-hydrolases and other protein (domain)
PF17035,2,Bromodomain extra-terminal - transcription regulation (domain)
PF15604,2,Novel toxin 15 (family)
PF16819,2,Domain of unknown function (DUF5074) (repeat)
PF00407,2,Pathogenesis-related protein Bet v 1 family (domain)
PF16705,2,"NUDIX, or N-terminal NPxY motif-rich, region of KRIT (domain)"
PF12327,2,"FtsZ family, C-terminal domain (domain)"
PF05587,2,Anthrax receptor extracellular domain (domain)
PF02196,2,Raf-like Ras-binding domain (domain)
PF02760,2,HIN-200/IF120x domain (family)
PF05586,2,Anthrax receptor C-terminus region (family)
PF02207,2,Putative zinc finger in N-recognin (UBR box) (family)
PF15943,2,Bacterial toxin YdaS (family)
PF02228,2,Major core protein p19 (family)
PF02668,2,"Taurine catabolism dioxygenase TauD, TfdA family (domain)"
PF16035,2,Chalcone isomerase like (domain)
PF12661,2,Human growth factor-like EGF (domain)
PF05406,2,WGR domain (domain)
PF16197,2,Ketoacyl-synthetase C-terminal extension (family)
PF00094,2,von Willebrand factor type D domain (domain)
PF00091,2,"Tubulin/FtsZ family, GTPase domain (domain)"
PF02758,2,PAAD/DAPIN/Pyrin domain (domain)
PF15227,2,"zinc finger of C3HC4-type, RING (domain)"
PF01707,2,Peptidase family C9 (family)
PF01832,2,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (domain)
PF06439,2,3-keto-disaccharide hydrolase (domain)
PF07501,2,G5 domain (domain)
PF01728,2,FtsJ-like methyltransferase (family)
PF01738,2,Dienelactone hydrolase family (domain)
PF01746,2,tRNA (Guanine-1)-methyltransferase (family)
PF00291,2,Pyridoxal-phosphate dependent enzyme (family)
PF13330,2,Mucin-2 protein WxxW repeating region (family)
PF00435,2,Spectrin repeat (domain)
PF02832,2,"Flavivirus glycoprotein, immunoglobulin-like domain (domain)"
PF06175,2,tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE) (domain)
PF01826,2,Trypsin Inhibitor like cysteine rich domain (domain)
PF01833,2,IPT/TIG domain (domain)
PF15009,2,STING ligand-binding domain (domain)
PF17871,2,AAA lid domain (domain)
PF17862,2,AAA+ lid domain (domain)
PF02825,2,WWE domain (domain)
PF17820,2,PDZ domain (domain)
PF13193,2,AMP-binding enzyme C-terminal domain (domain)
PF17784,2,Sulfotransferase domain (domain)
PF02801,2,"Beta-ketoacyl synthase, C-terminal domain (domain)"
PF02800,2,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain (domain)"
PF05971,2,RNA methyltransferase (family)
PF11764,2,COMPASS (Complex proteins associated with Set1p) component N (domain)
PF14839,2,DOR family (family)
PF13332,2,Hemagglutinin repeat (repeat)
PF00100,2,ZP-C domain (domain)
PF19293,2,CdaA N-terminal transmembrane domain (family)
PF00219,2,Insulin-like growth factor binding protein (domain)
PF00551,2,Formyl transferase (domain)
PF22179,2,"RickCE-like, catalytic domain (domain)"
PF00722,2,Glycosyl hydrolases family 16 (domain)
PF00541,2,Adenoviral fibre protein (knob domain) (domain)
PF08742,2,C8 domain (domain)
PF08787,2,Alginate lyase (domain)
PF00015,2,Methyl-accepting chemotaxis protein (MCP) signalling domain (family)
PF00540,2,gag gene protein p17 (matrix protein) (domain)
PF08063,2,"PADR1 domain, zinc ribbon fold (domain)"
PF04055,2,Radical SAM superfamily (domain)
PF00757,2,Furin-like cysteine rich region (domain)
PF13657,2,HipA N-terminal domain (domain)
PF00877,2,NlpC/P60 family (family)
PF03494,2,Beta-amyloid peptide (beta-APP) (family)
PF00779,2,BTK motif (conserved_site)
PF03480,2,"Bacterial extracellular solute-binding protein, family 7 (family)"
PF21728,2,"PADR1, N-terminal helical domain (domain)"
PF21659,2,"Flavivirus envelope glycoprotein E, stem/anchor domain (domain)"
PF13765,2,SPRY-associated domain (family)
PF03403,2,"Platelet-activating factor acetylhydrolase, isoform II (domain)"
PF00536,2,SAM domain (Sterile alpha motif) (domain)
PF08969,2,USP8 dimerisation domain (domain)
PF00856,2,SET domain (family)
PF00869,2,"Flavivirus glycoprotein, central and dimerisation domains (domain)"
PF08205,2,CD80-like C2-set immunoglobulin domain (domain)
PF08214,2,Histone acetylation protein (domain)
PF00698,2,Acyl transferase domain (domain)
PF13442,2,"Cytochrome C oxidase, cbb3-type, subunit III (domain)"
PF03944,2,delta endotoxin (domain)
PF00607,2,gag protein p24 N-terminal domain (domain)
PF00608,2,Adenoviral fibre protein (repeat/shaft region) (repeat)
PF00008,2,EGF-like domain (domain)
PF00013,2,KH domain (domain)
PF08448,2,PAS fold (domain)
PF03770,2,Inositol polyphosphate kinase (family)
PF00621,2,RhoGEF domain (domain)
PF00622,2,SPRY domain (family)
PF03734,2,"L,D-transpeptidase catalytic domain (domain)"
PF13570,2,PQQ-like domain (repeat)
PF03945,2,"delta endotoxin, N-terminal domain (domain)"
PF03662,2,"Glycosyl hydrolase family 79, N-terminal domain (domain)"
PF03645,2,Tctex-1 family (family)
PF13472,2,GDSL-like Lipase/Acylhydrolase family (domain)
PF22697,2,SOS1/NGEF-like PH domain (domain)
PF08263,2,Leucine rich repeat N-terminal domain (family)
PF00645,2,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region (domain)
PF00187,2,Chitin recognition protein (domain)
PF00653,2,Inhibitor of Apoptosis domain (domain)
PF08240,2,Alcohol dehydrogenase GroES-like domain (domain)
PF00555,2,delta endotoxin (repeat)
PF00668,2,Condensation domain (family)
PF00870,2,P53 DNA-binding domain (domain)
PF04069,2,Substrate binding domain of ABC-type glycine betaine transport system (family)
PF20907,2,"Flavivirus NS3 helicase, C-terminal helical domain (domain)"
PF13409,2,"Glutathione S-transferase, N-terminal domain (domain)"
PF01005,2,Flavivirus non-structural protein NS2A (family)
PF13410,2,"Glutathione S-transferase, C-terminal domain (domain)"
PF01030,2,Receptor L domain (repeat)
PF00893,2,Small Multidrug Resistance protein (family)
PF07652,2,Flavivirus DEAD domain (domain)
PF20896,2,"Tomato mosaic virus helicase, N-terminal domain (domain)"
PF20852,2,"Non-structural protein 3, zinc-binding domain (domain)"
PF00025,2,ADP-ribosylation factor family (domain)
PF07648,2,Kazal-type serine protease inhibitor domain (domain)
PF01088,2,"Ubiquitin carboxyl-terminal hydrolase, family 1 (domain)"
PF07645,2,Calcium-binding EGF domain (domain)
PF07637,2,Protein of unknown function (DUF1595) (family)
PF01121,2,Dephospho-CoA kinase (domain)
PF01003,2,Flavivirus capsid protein C (family)
PF20625,2,USP8 WW domain (domain)
PF07631,2,Protein of unknown function (DUF1592) (family)
PF07627,2,Protein of unknown function (DUF1588) (family)
PF01187,2,Macrophage migration inhibitory factor (MIF) (domain)
PF20483,2,"Flavivirus RNA-directed RNA polymerase, thumb domain (domain)"
PF07626,2,Protein of unknown function (DUF1587) (family)
PF00175,2,Oxidoreductase NAD-binding domain (domain)
PF00034,2,Cytochrome c (domain)
PF13407,2,Periplasmic binding protein domain (family)
PF09424,2,Yqey-like protein (domain)
PF03167,2,Uracil DNA glycosylase superfamily (domain)
PF04335,2,VirB8 protein (domain)
PF01004,2,Flavivirus envelope glycoprotein M (family)
PF02457,2,DisA bacterial checkpoint controller nucleotide-binding (family)
PF09038,2,Tumour suppressor p53-binding protein-1 Tudor (domain)
PF00972,2,"Flavivirus RNA-directed RNA polymerase, fingers and palm domains (domain)"
PF04203,2,Sortase domain (domain)
PF09150,2,"Orange carotenoid protein, N-terminal (domain)"
PF13833,2,EF-hand domain pair (domain)
PF21290,2,"BIRC2/3-like, UBA domain (domain)"
PF07710,2,P53 tetramerisation motif (conserved_site)
PF00517,2,Retroviral envelope protein (family)
PF00531,2,Death domain (domain)
PF00948,2,Flavivirus non-structural Protein NS1 (family)
PF00949,2,"Peptidase S7, Flavivirus NS3 serine protease (family)"
PF13857,2,Ankyrin repeats (many copies) (repeat)
PF00109,2,"Beta-ketoacyl synthase, N-terminal domain (domain)"
PF00975,2,Thioesterase domain (domain)
PF04146,2,YT521-B-like domain (domain)
PF07684,2,NOTCH protein (family)
PF01002,2,Flavivirus non-structural protein NS2B (family)
PF00139,1,Legume lectin domain (domain)
PF13395,1,HNH endonuclease (domain)
PF12851,1,Oxygenase domain of the 2OGFeDO superfamily (domain)
PF12826,1,Helix-hairpin-helix motif (conserved_site)
PF13337,1,"Lon-like protease BrxL-like, ATPase domain (domain)"
PF12819,1,Malectin-like domain (domain)
PF00125,1,Core histone H2A/H2B/H3/H4 (domain)
PF13370,1,4Fe-4S single cluster domain of Ferredoxin I (domain)
PF13018,1,Extended Signal Peptide of Type V secretion system (conserved_site)
PF13439,1,Glycosyltransferase Family 4 (domain)
PF13188,1,PAS domain (domain)
PF13243,1,Squalene-hopene cyclase C-terminal domain (repeat)
PF00128,1,"Alpha amylase, catalytic domain (domain)"
PF13302,1,Acetyltransferase (GNAT) domain (domain)
PF13482,1,RNase_H superfamily (domain)
PF13353,1,4Fe-4S single cluster domain (domain)
PF13114,1,RecO N terminal (domain)
PF13459,1,4Fe-4S single cluster domain (domain)
PF13229,1,Right handed beta helix region (repeat)
PF13458,1,Periplasmic binding protein (family)
PF00117,1,Glutamine amidotransferase class-I (domain)
PF13418,1,"Galactose oxidase, central domain (repeat)"
PF13416,1,Bacterial extracellular solute-binding protein (family)
PF13202,1,EF hand (domain)
PF13181,1,Tetratricopeptide repeat (repeat)
PF13185,1,GAF domain (domain)
PF00122,1,E1-E2 ATPase (family)
PF10996,1,Beta-Casp domain (domain)
PF12810,1,"ALK/LTK, Glycine-rich domain (domain)"
PF09358,1,Ubiquitin fold domain (domain)
PF08999,1,"Surfactant protein C, N terminal propeptide (domain)"
PF09030,1,Creb binding (domain)
PF00179,1,Ubiquitin-conjugating enzyme (domain)
PF09056,1,Prokaryotic phospholipase A2 (domain)
PF09058,1,L27_1 (domain)
PF09160,1,"FimH, mannose binding (domain)"
PF09200,1,Monellin (domain)
PF09259,1,Fungal immunomodulatory protein Fve (domain)
PF09346,1,SMI1 / KNR4 family (SUKH-1) (domain)
PF00176,1,SNF2-related domain (domain)
PF00141,1,Peroxidase (domain)
PF00173,1,Cytochrome b5-like Heme/Steroid binding domain (domain)
PF09606,1,ARC105/Med15 mediator subunit N-terminal KIX domain (domain)
PF09764,1,N-terminal glutamine amidase (family)
PF09783,1,Vacuolar import and degradation protein (family)
PF09788,1,Transmembrane protein 55A (family)
PF10014,1,2OG-Fe dioxygenase (domain)
PF10155,1,CCR4-NOT transcription complex subunit 11 (family)
PF10243,1,Microtubule-binding protein MIP-T3 CH-like domain (domain)
PF10294,1,Lysine methyltransferase (family)
PF08937,1,"Thoeris protein ThsB, TIR-like domain (domain)"
PF08919,1,F-actin binding (domain)
PF08917,1,Transforming growth factor beta receptor 2 ectodomain (domain)
PF08916,1,Phenylalanine zipper (domain)
PF08567,1,"TFIIH p62 subunit, N-terminal domain (domain)"
PF08585,1,"RMI1, N-terminal OB-fold domain (domain)"
PF08609,1,Nucleotide exchange factor Fes1 (repeat)
PF08628,1,Sorting nexin C terminal (family)
PF08659,1,KR domain (family)
PF08706,1,D5 N terminal like (domain)
PF08707,1,Primase C terminal 2 (PriCT-2) (domain)
PF00193,1,Extracellular link domain (domain)
PF08711,1,TFIIS helical bundle-like domain (domain)
PF00191,1,Annexin (domain)
PF00185,1,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain (domain)"
PF08719,1,NADAR domain (domain)
PF08725,1,Integrin beta cytoplasmic domain (domain)
PF08726,1,Ca2+ insensitive EF hand (domain)
PF00183,1,Hsp90 protein (family)
PF08843,1,"Nucleotidyl transferase AbiEii toxin, Type IV TA system (domain)"
PF08880,1,QLQ (domain)
PF08896,1,Domain of unknown function (DUF1842) (domain)
PF08898,1,Domain of unknown function (DUF1843) (domain)
PF10357,1,Domain of Kin17 curved DNA-binding protein (family)
PF10391,1,Fingers domain of DNA polymerase lambda (domain)
PF10437,1,Bacterial lipoate protein ligase C-terminus (domain)
PF11799,1,impB/mucB/samB family C-terminal domain (domain)
PF11895,1,Fungal peroxidase extension region (family)
PF11968,1,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2 (family)"
PF12047,1,Cytosine specific DNA methyltransferase replication foci domain (domain)
PF12063,1,"Atg1-like, MIT domain 1 (domain)"
PF12107,1,Plasminogen (Pg) ligand in fibrinolytic pathway (family)
PF00145,1,C-5 cytosine-specific DNA methylase (domain)
PF12148,1,Tandem tudor domain within UHRF1 (domain)
PF12316,1,Segment polarity protein dishevelled (Dsh) C terminal (family)
PF12330,1,Haspin like kinase domain (family)
PF12349,1,Sterol-sensing domain of SREBP cleavage-activation (family)
PF12407,1,Homeobox protein (disordered)
PF00143,1,Interferon alpha/beta domain (domain)
PF12601,1,Rubivirus non-structural protein (family)
PF12604,1,Tail fibre protein gp37 C terminal domain (domain)
PF12695,1,Alpha/beta hydrolase family (domain)
PF00142,1,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family (domain)"
PF12708,1,"Rhamnogalacturonase A/epimerase, pectate lyase-like (repeat)"
PF12729,1,Four helix bundle sensory module for signal transduction (family)
PF12791,1,Anti-sigma factor N-terminus (domain)
PF11835,1,RRM-like domain (domain)
PF11718,1,Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term (domain)
PF10469,1,AKAP7 2'5' RNA ligase-like domain (domain)
PF11713,1,Peptidase C80 family (domain)
PF10494,1,Serine-threonine protein kinase 19 (family)
PF10503,1,Esterase PHB depolymerase (family)
PF00161,1,Ribosome inactivating protein (domain)
PF10523,1,BEN domain (domain)
PF10585,1,"Ubiquitin-activating enzyme, SCCH domain (domain)"
PF10634,1,Fe2+ transport protein (family)
PF10986,1,Protein of unknown function (DUF2796) (family)
PF11347,1,Protein CHLORORESPIRATORY REDUCTION 42-like (family)
