"","protein family","annotation","AlphaFold2","ESMFold","OmegaFold"
"13","PF06471","Coronavirus proofreading exoribonuclease (family)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"14","PF06478","Coronavirus RNA-dependent RNA polymerase, N-terminal (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"15","PF07679","Immunoglobulin I-set domain (domain)","not significant (p-value: 1, odds ratio: 1.12)","not significant (p-value: 0.232, odds ratio: Inf)","not significant (p-value: 0.706, odds ratio: 2.494)"
"16","PF07714","Protein tyrosine and serine/threonine kinase (domain)","not significant (p-value: 0.104, odds ratio: Inf)","well-predicted family (p-value: 0.01, odds ratio: Inf)","well-predicted family (p-value: 0.003, odds ratio: Inf)"
"17","PF08710","Coronavirus replicase NSP9 (domain)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"18","PF08715","Coronavirus papain-like peptidase (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"19","PF08716","Coronavirus replicase NSP7 (domain)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"20","PF08717","Coronavirus replicase NSP8 (domain)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"21","PF09401","Coronavirus RNA synthesis protein NSP10 (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"22","PF09408","Betacoronavirus spike glycoprotein S1, receptor binding (domain)","not significant (p-value: 0.632, odds ratio: Inf)","not significant (p-value: 0.051, odds ratio: 0.322)","not significant (p-value: 0.154, odds ratio: 0.401)"
"23","PF11501","Betacoronavirus replicase NSP1 (family)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"24","PF11633","Betacoronavirus single-stranded poly(A) binding domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"25","PF12124","Betacoronavirus SUD-C domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"26","PF12379","Betacoronavirus replicase NSP3, N-terminal (family)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"27","PF13087","AAA domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"28","PF16251","Betacoronavirus nucleic acid-binding (NAB) (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"29","PF16348","Coronavirus replicase NSP4, C-terminal (domain)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"30","PF16451","Betacoronavirus-like spike glycoprotein S1, N-terminal (domain)","not significant (p-value: 0.632, odds ratio: Inf)","not significant (p-value: 0.051, odds ratio: 0.322)","not significant (p-value: 0.154, odds ratio: 0.401)"
"31","PF19209","Coronavirus spike glycoprotein S1, C-terminal (domain)","not significant (p-value: 0.632, odds ratio: Inf)","not significant (p-value: 0.051, odds ratio: 0.322)","not significant (p-value: 0.154, odds ratio: 0.401)"
"32","PF19211","Coronavirus replicase NSP2, N-terminal (family)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"33","PF19212","Coronavirus replicase NSP2, C-terminal (family)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"34","PF19213","Coronavirus replicase NSP6 (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"35","PF19215","Coronavirus replicase NSP15, uridylate-specific endoribonuclease (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"36","PF19216","Coronavirus replicase NSP15, middle domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"37","PF19217","Coronavirus replicase NSP4, N-terminal (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"38","PF19218","Coronavirus replicase NSP3, C-terminal (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"39","PF19219","Coronavirus replicase NSP15, N-terminal oligomerisation (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"40","PF20631","Coronavirus Nonstructural protein 13, 1B domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"41","PF20632","Coronavirus Non-structural protein 13, zinc-binding domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"42","PF20633","Coronavirus Nonstructural protein 13, stalk domain (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
