"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"33","IPR036116","Fibronectin type III superfamily (homologous_superfamily)","13","1099","1","223","0.486873362992458","2.63785259326661",0.598277647836482,"not significant"
"34","IPR013320","Concanavalin A-like lectin/glucanase domain superfamily (homologous_superfamily)","14","1098","0","224","0.144980083667178","Inf",0.265796820056493,"not significant"
"35","IPR001205","RNA-directed RNA polymerase, C-terminal domain (domain)","6","1106","8","216","0.000663856867595757","0.146473779385172",0.00188449691446537,"poorly predicted family"
"36","IPR003961","Fibronectin type III (domain)","13","1099","1","223","0.486873362992458","2.63785259326661",0.598277647836482,"not significant"
"37","IPR036390","Winged helix DNA-binding domain superfamily (homologous_superfamily)","11","1101","2","222","1","1.10899182561308",1,"not significant"
"38","IPR043472","Macro domain-like (homologous_superfamily)","3","1109","10","214","2.63263159051128e-06","0.0578899909828674",1.00726773897823e-05,"poorly predicted family"
"39","IPR002589","Macro domain (domain)","3","1109","10","214","2.63263159051128e-06","0.0578899909828674",1.00726773897823e-05,"poorly predicted family"
"40","IPR044371","Non-structural protein 3, X-domain-like (domain)","3","1109","10","214","2.63263159051128e-06","0.0578899909828674",1.00726773897823e-05,"poorly predicted family"
"41","IPR013106","Immunoglobulin V-set domain (domain)","11","1101","1","223","0.702587953866239","2.22797456857402",0.82436986586972,"not significant"
"42","IPR032675","Leucine-rich repeat domain superfamily (homologous_superfamily)","6","1106","6","218","0.00787911335320809","0.197106690777577",0.0187395128400625,"poorly predicted family"
"43","IPR013098","Immunoglobulin I-set (domain)","11","1101","1","223","0.702587953866239","2.22797456857402",0.82436986586972,"not significant"
"44","IPR036860","SH2 domain superfamily (homologous_superfamily)","12","1100","0","224","0.235832702196072","Inf",0.345887963220906,"not significant"
"45","IPR000980","SH2 domain (domain)","12","1100","0","224","0.235832702196072","Inf",0.345887963220906,"not significant"
"46","IPR001611","Leucine-rich repeat (repeat)","6","1106","6","218","0.00787911335320809","0.197106690777577",0.0187395128400625,"poorly predicted family"
"47","IPR027351","(+) RNA virus helicase core domain (domain)","3","1109","9","215","1.25405395916194e-05","0.0646227832882477",4.59819785026045e-05,"poorly predicted family"
"48","IPR001628","Zinc finger, nuclear hormone receptor-type (domain)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"49","IPR035500","Nuclear hormone receptor-like domain superfamily (homologous_superfamily)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"50","IPR014756","Immunoglobulin E-set (homologous_superfamily)","8","1104","3","221","0.407750982318772","0.533816425120773",0.527677741824293,"not significant"
"51","IPR000536","Nuclear hormone receptor, ligand-binding domain (domain)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"52","IPR017907","Zinc finger, RING-type, conserved site (conserved_site)","9","1103","2","222","1","0.905711695376247",1,"not significant"
"53","IPR000073","Alpha/beta hydrolase fold-1 (domain)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"54","IPR013088","Zinc finger, NHR/GATA-type (homologous_superfamily)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"55","IPR038765","Papain-like cysteine peptidase superfamily (homologous_superfamily)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"56","IPR013785","Aldolase-type TIM barrel (homologous_superfamily)","11","1101","0","224","0.2281441595022","Inf",0.345887963220906,"not significant"
"57","IPR036028","SH3-like domain superfamily (homologous_superfamily)","10","1102","0","224","0.385542066320778","Inf",0.506383609495947,"not significant"
"58","IPR036333","RNA synthesis protein NSP10 superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"59","IPR000626","Ubiquitin-like domain (domain)","7","1105","3","221","0.227045032060399","0.466666666666667",0.345887963220906,"not significant"
"60","IPR036465","von Willebrand factor A-like domain superfamily (homologous_superfamily)","6","1106","4","220","0.0702972594204812","0.298372513562387",0.143864158814008,"not significant"
"61","IPR014822","Non-structural protein NSP9, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"62","IPR014828","Non-structural protein NSP7, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"63","IPR014829","Non-structural protein NSP8, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"64","IPR049894","Coronavirus NSP3, 3Ecto domain (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"65","IPR043612","Non-structural protein NSP4, N-terminal, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"66","IPR043611","Coronavirus replicase NSP3, C-terminal (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"67","IPR043610","Non-structural protein 6, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"68","IPR043503","Papain-like viral protease, palm and finger domains, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"69","IPR043477","Peptidase C30, domain 3, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"70","IPR043178","Papain-like protease, thumb domain superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"71","IPR036890","Histidine kinase/HSP90-like ATPase superfamily (homologous_superfamily)","9","1103","1","223","1","1.8195829555757",1,"not significant"
"72","IPR018995","RNA synthesis protein NSP10, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"73","IPR036322","WD40-repeat-containing domain superfamily (homologous_superfamily)","9","1103","1","223","1","1.8195829555757",1,"not significant"
"74","IPR001723","Nuclear hormone receptor (family)","10","1102","0","224","0.385542066320778","Inf",0.506383609495947,"not significant"
"75","IPR036249","Thioredoxin-like superfamily (homologous_superfamily)","9","1103","1","223","1","1.8195829555757",1,"not significant"
"76","IPR050122","Receptor Tyrosine Kinase (family)","10","1102","0","224","0.385542066320778","Inf",0.506383609495947,"not significant"
"77","IPR038123","Non-structural protein NSP4, C-terminal superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"78","IPR001452","SH3 domain (domain)","10","1102","0","224","0.385542066320778","Inf",0.506383609495947,"not significant"
"79","IPR032505","Non-structural protein NSP4, C-terminal, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"80","IPR037230","Non-structural protein NSP8 superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"81","IPR037204","Non-structural protein NSP7 superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"82","IPR001408","G-protein alpha subunit, group I (family)","10","1102","0","224","0.385542066320778","Inf",0.506383609495947,"not significant"
"83","IPR047566","Coronavirus replicase NSP3, Y domain (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"84","IPR036499","Non-structural protein NSP9 superfamily, coronavirus (homologous_superfamily)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"85","IPR003591","Leucine-rich repeat, typical subtype (repeat)","4","1108","6","218","0.00241341841453877","0.131167268351384",0.00643578243877005,"poorly predicted family"
"86","IPR003594","Histidine kinase/HSP90-like ATPase domain (domain)","9","1103","1","223","1","1.8195829555757",1,"not significant"
"87","IPR013016","Peptidase C16, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
"88","IPR008740","Peptidase C30, coronavirus (domain)","1","1111","9","215","7.80827005448975e-07","0.0215021502150215",3.43563882397549e-06,"poorly predicted family"
